filename,sha256,md5,size_bytes,type,function,phase
orderbuddy-main.zip,2ac11f7302ea0e35e7626fb2bc4f4b68c047313c0fc5cc5681a850cf1b164047,,n/a,archive,Malware delivery archive,1
test.js,d273e7fc22daa42d8cb20b833c52c0cddca1a967891c9bab4573d3a6a4b925d7,4e6bc80a8a417408ed4886ddf1da8080,20971,javascript,Browser credential stealer,3
p.js,4b154b8e35e4cbb3f9851b503b8245bfec601b00330690ef3d2a66bf42c4077b,69206184db3ec951fa33ce2ac8ccdbf6,10560,javascript,File exfiltrator,3
njs_ryGnMe8.js,8efb64fb702476ff55e6ebf5be38ec0b53eec0d9e456695099a149c8810dac7d,f4f4a661c37ba2db38dc7b008b305dbf,27415,javascript,SSH/FTP RAT,3
main_ryGnMe8.py,7ddff976b79ef4010a2d1e14938bbd33b3749febe39c8757df987d8cf54acd3c,a3c0cd624a40b8e78ff9abfe1d96907c,3380,python,Reverse shell (decoded),3
vscode_package.json,8e62d72d1cd6a3ff72afe02decfad5c14a2d1d1e64fe0e8eef81533220f648ac,,327,json,C2-delivered dependencies,3
